timestamp,frame,object,x1,y1,x2,y2,name,score
1763742248.311286,2,person,61,58,797,709,robin,0.04982521564009135
1763742248.7338374,2,class_56,101,14,690,553,robin,0.04983690737244739
1763742248.962957,2,class_63,724,106,841,205,robin,0.04957773071671523
1763742249.1840441,2,class_41,727,326,793,381,robin,0.04977245359007043
1763742249.409931,2,class_56,779,615,1000,715,robin,0.049807293339000136
1763742249.6649983,2,class_57,828,157,1096,321,robin,0.049695214986529734
1763742250.2946148,4,person,41,41,810,710,robin,0.04983147747261163
1763742250.7058222,4,class_56,104,16,691,533,robin,0.04985159580094711
1763742250.9334009,4,class_63,723,106,840,205,robin,0.04956796451914369
1763742251.2025487,4,class_58,650,176,904,381,robin,0.04954888173084071
1763742251.422336,4,class_41,727,328,794,381,robin,0.04977351206781444
1763742251.6515102,4,class_56,790,617,1001,715,robin,0.04982722314107246
1763742251.901514,4,class_57,829,156,1097,324,robin,0.04967682960523878
1763742252.4577534,6,person,32,39,815,709,robin,0.04986745197920428
1763742252.8607776,6,class_56,105,14,692,526,robin,0.049866347713889425
1763742253.1023602,6,class_63,724,106,840,204,robin,0.04958788180663509
1763742253.3238263,6,class_41,728,328,793,381,robin,0.04980380343276125
1763742253.5805554,6,class_58,650,177,905,346,robin,0.049487338581252316
1763742253.8120039,6,class_56,797,617,1000,717,robin,0.049796852243380485
1763742254.0600235,6,class_57,830,156,1096,298,robin,0.049741729886887964
1763742254.7028334,8,person,34,58,811,709,robin,0.04966509108340167
1763742255.0822647,8,class_56,101,15,690,541,robin,0.04989562402045533
1763742255.3135245,8,class_63,723,106,840,205,robin,0.04944526629705148
1763742255.5753355,8,class_58,650,176,904,359,robin,0.049508706324530416
1763742255.7962577,8,class_41,728,328,793,381,robin,0.049767516518826826
1763742256.0354905,8,class_57,834,156,1097,286,robin,0.04986987747357574
1763742256.2672632,8,class_56,794,615,997,715,robin,0.04981316419355575
